Epoch 111/500, Train miss rmse:0.2049, obse rmse:0.1112, porosity:0.0226 G loss:6.4486, d loss:0.0113, g loss:4.1873, g loss temp:2.3785, MSE loss:0.0181
Epoch 112/500, Train miss rmse:0.1959, obse rmse:0.1169, porosity:0.0175 G loss:5.8118, d loss:0.0161, g loss:4.0576, g loss temp:2.1077, MSE loss:0.0195
Epoch 113/500, Train miss rmse:0.1993, obse rmse:0.1118, porosity:0.0061 G loss:4.1212, d loss:0.0100, g loss:3.5140, g loss temp:1.6447, MSE loss:0.0187
Epoch 114/500, Train miss rmse:0.2066, obse rmse:0.1101, porosity:0.0280 G loss:6.7344, d loss:0.0110, g loss:3.9340, g loss temp:2.2816, MSE loss:0.0165
Epoch 115/500, Train miss rmse:0.1995, obse rmse:0.1139, porosity:0.0082 G loss:4.9333, d loss:0.0134, g loss:4.1111, g loss temp:2.3165, MSE loss:0.0179
Epoch 116/500, Train miss rmse:0.1916, obse rmse:0.1180, porosity:0.0113 G loss:4.7347, d loss:0.0116, g loss:3.6055, g loss temp:1.5474, MSE loss:0.0206
Epoch 117/500, Train miss rmse:0.1869, obse rmse:0.1189, porosity:0.0134 G loss:4.5299, d loss:0.0102, g loss:3.1913, g loss temp:1.0467, MSE loss:0.0214
Epoch 118/500, Train miss rmse:0.1816, obse rmse:0.1209, porosity:0.0052 G loss:3.7098, d loss:0.0066, g loss:3.1888, g loss temp:1.0396, MSE loss:0.0215
Epoch 119/500, Train miss rmse:0.1897, obse rmse:0.1175, porosity:0.0072 G loss:4.2410, d loss:0.0070, g loss:3.5230, g loss temp:1.5288, MSE loss:0.0199
Epoch 120/500, Train miss rmse:0.1849, obse rmse:0.1229, porosity:0.0249 G loss:5.8657, d loss:0.0123, g loss:3.3740, g loss temp:1.3336, MSE loss:0.0204
Epoch 121/500, Train miss rmse:0.1940, obse rmse:0.1154, porosity:0.0078 G loss:4.3537, d loss:0.0107, g loss:3.5732, g loss temp:1.6396, MSE loss:0.0193
Epoch 122/500, Train miss rmse:0.1870, obse rmse:0.1166, porosity:0.0062 G loss:4.0798, d loss:0.0120, g loss:3.4584, g loss temp:1.3674, MSE loss:0.0209
Epoch 123/500, Train miss rmse:0.1937, obse rmse:0.1119, porosity:0.0201 G loss:5.5105, d loss:0.0072, g loss:3.5037, g loss temp:1.5983, MSE loss:0.0191
Epoch 124/500, Train miss rmse:0.1841, obse rmse:0.1196, porosity:0.0051 G loss:3.8165, d loss:0.0178, g loss:3.3097, g loss temp:1.3289, MSE loss:0.0198
Epoch 125/500, Train miss rmse:0.2053, obse rmse:0.1076, porosity:0.0247 G loss:6.7851, d loss:0.0088, g loss:4.3123, g loss temp:2.7176, MSE loss:0.0159
Epoch 126/500, Train miss rmse:0.1882, obse rmse:0.1157, porosity:0.0074 G loss:5.0082, d loss:0.0212, g loss:4.2641, g loss temp:2.2314, MSE loss:0.0203
Epoch 127/500, Train miss rmse:0.1779, obse rmse:0.1214, porosity:0.0065 G loss:3.5642, d loss:0.0125, g loss:2.9108, g loss temp:0.8953, MSE loss:0.0202
Epoch 128/500, Train miss rmse:0.2045, obse rmse:0.1086, porosity:0.0398 G loss:8.6601, d loss:0.0181, g loss:4.6833, g loss temp:3.0984, MSE loss:0.0158
Epoch 129/500, Train miss rmse:0.1977, obse rmse:0.1089, porosity:0.0070 G loss:5.4876, d loss:0.0430, g loss:4.7878, g loss temp:3.0185, MSE loss:0.0177
Epoch 130/500, Train miss rmse:0.2037, obse rmse:0.1046, porosity:0.0126 G loss:5.3834, d loss:0.0115, g loss:4.1205, g loss temp:2.5674, MSE loss:0.0155
