Epoch 154/3000, Train miss rmse:0.1759, obse rmse:0.1600, Test miss rmse:0.1844, obse rmse:0.1673
Epoch 155/3000, Train miss rmse:0.1757, obse rmse:0.1595, Test miss rmse:0.1845, obse rmse:0.1670
Epoch 156/3000, Train miss rmse:0.1762, obse rmse:0.1593, Test miss rmse:0.1851, obse rmse:0.1668
Epoch 157/3000, Train miss rmse:0.1735, obse rmse:0.1614, Test miss rmse:0.1822, obse rmse:0.1689
Epoch 158/3000, Train miss rmse:0.1752, obse rmse:0.1584, Test miss rmse:0.1842, obse rmse:0.1659
Epoch 159/3000, Train miss rmse:0.1742, obse rmse:0.1592, Test miss rmse:0.1831, obse rmse:0.1667
Epoch 160/3000, Train miss rmse:0.1744, obse rmse:0.1583, Test miss rmse:0.1834, obse rmse:0.1658
Epoch 161/3000, Train miss rmse:0.1731, obse rmse:0.1595, Test miss rmse:0.1822, obse rmse:0.1673
Epoch 162/3000, Train miss rmse:0.1741, obse rmse:0.1575, Test miss rmse:0.1833, obse rmse:0.1650
Epoch 163/3000, Train miss rmse:0.1735, obse rmse:0.1579, Test miss rmse:0.1827, obse rmse:0.1655
Epoch 164/3000, Train miss rmse:0.1729, obse rmse:0.1577, Test miss rmse:0.1822, obse rmse:0.1655
Epoch 165/3000, Train miss rmse:0.1730, obse rmse:0.1576, Test miss rmse:0.1823, obse rmse:0.1654
Epoch 166/3000, Train miss rmse:0.1740, obse rmse:0.1555, Test miss rmse:0.1834, obse rmse:0.1632
Epoch 167/3000, Train miss rmse:0.1721, obse rmse:0.1573, Test miss rmse:0.1816, obse rmse:0.1651
Epoch 168/3000, Train miss rmse:0.1728, obse rmse:0.1557, Test miss rmse:0.1823, obse rmse:0.1634
Epoch 169/3000, Train miss rmse:0.1723, obse rmse:0.1558, Test miss rmse:0.1819, obse rmse:0.1637
Epoch 170/3000, Train miss rmse:0.1714, obse rmse:0.1566, Test miss rmse:0.1810, obse rmse:0.1646
Epoch 171/3000, Train miss rmse:0.1718, obse rmse:0.1553, Test miss rmse:0.1814, obse rmse:0.1634
Epoch 172/3000, Train miss rmse:0.1724, obse rmse:0.1543, Test miss rmse:0.1823, obse rmse:0.1623
Epoch 173/3000, Train miss rmse:0.1702, obse rmse:0.1568, Test miss rmse:0.1798, obse rmse:0.1648
Epoch 174/3000, Train miss rmse:0.1711, obse rmse:0.1550, Test miss rmse:0.1809, obse rmse:0.1631
Epoch 175/3000, Train miss rmse:0.1707, obse rmse:0.1548, Test miss rmse:0.1807, obse rmse:0.1630
Epoch 176/3000, Train miss rmse:0.1711, obse rmse:0.1539, Test miss rmse:0.1811, obse rmse:0.1621
Epoch 177/3000, Train miss rmse:0.1703, obse rmse:0.1545, Test miss rmse:0.1803, obse rmse:0.1627
Epoch 178/3000, Train miss rmse:0.1708, obse rmse:0.1532, Test miss rmse:0.1810, obse rmse:0.1614
Epoch 179/3000, Train miss rmse:0.1699, obse rmse:0.1541, Test miss rmse:0.1798, obse rmse:0.1624
Epoch 180/3000, Train miss rmse:0.1694, obse rmse:0.1539, Test miss rmse:0.1795, obse rmse:0.1622
Epoch 181/3000, Train miss rmse:0.1691, obse rmse:0.1544, Test miss rmse:0.1794, obse rmse:0.1627
Epoch 182/3000, Train miss rmse:0.1686, obse rmse:0.1539, Test miss rmse:0.1788, obse rmse:0.1622
Epoch 183/3000, Train miss rmse:0.1691, obse rmse:0.1528, Test miss rmse:0.1794, obse rmse:0.1610
Epoch 184/3000, Train miss rmse:0.1690, obse rmse:0.1527, Test miss rmse:0.1795, obse rmse:0.1612
Epoch 185/3000, Train miss rmse:0.1686, obse rmse:0.1525, Test miss rmse:0.1789, obse rmse:0.1609
Epoch 186/3000, Train miss rmse:0.1684, obse rmse:0.1522, Test miss rmse:0.1789, obse rmse:0.1607
Epoch 187/3000, Train miss rmse:0.1685, obse rmse:0.1520, Test miss rmse:0.1790, obse rmse:0.1606
Epoch 188/3000, Train miss rmse:0.1687, obse rmse:0.1515, Test miss rmse:0.1792, obse rmse:0.1601
Epoch 189/3000, Train miss rmse:0.1680, obse rmse:0.1517, Test miss rmse:0.1787, obse rmse:0.1603
Epoch 190/3000, Train miss rmse:0.1679, obse rmse:0.1512, Test miss rmse:0.1784, obse rmse:0.1600
Epoch 191/3000, Train miss rmse:0.1674, obse rmse:0.1512, Test miss rmse:0.1781, obse rmse:0.1599
Epoch 192/3000, Train miss rmse:0.1677, obse rmse:0.1505, Test miss rmse:0.1784, obse rmse:0.1593
Epoch 193/3000, Train miss rmse:0.1673, obse rmse:0.1508, Test miss rmse:0.1778, obse rmse:0.1597
Epoch 194/3000, Train miss rmse:0.1671, obse rmse:0.1503, Test miss rmse:0.1778, obse rmse:0.1589
Epoch 195/3000, Train miss rmse:0.1666, obse rmse:0.1504, Test miss rmse:0.1775, obse rmse:0.1592
Epoch 196/3000, Train miss rmse:0.1669, obse rmse:0.1498, Test miss rmse:0.1777, obse rmse:0.1586
Epoch 197/3000, Train miss rmse:0.1665, obse rmse:0.1495, Test miss rmse:0.1774, obse rmse:0.1584
Epoch 198/3000, Train miss rmse:0.1661, obse rmse:0.1497, Test miss rmse:0.1770, obse rmse:0.1586
Epoch 199/3000, Train miss rmse:0.1661, obse rmse:0.1495, Test miss rmse:0.1771, obse rmse:0.1584
